pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
홍기옥,5094,1229976857,True,동해체육관,태권도,인천,28,인천 부평구 부개2동 성일아파트성일상가 제가동 3층 동해태권도,
김대일,20072,3139079350,True,두리태권도장,태권도,충남,44,충청남도 보령시 웅천읍 장터중앙길 1032층 두리태권도장,
김기수,26361,5039472996,True,성화 태권도장,태권도,인천,28,"인천광역시 계양구 장제로 1004상가3층 성화태권도장(박촌동, 계양한양수자인)",
장연숙,1,6161558183,True,라이프헬스PT,헬스,제주,50,"제주특별자치도 제주시 중앙로26길 2601호(삼도이동, 동인스파월드빌)",0647229682
박상희,1,3499900893,True,두산은가비태권도장,태권도,서울,11,서울특별시 관악구 봉천로 391두산A상가 4층 두산은가비태권도(봉천동),
윤진욱,1,6279201283,True,동탄한울태권도,태권도,경기,41,경기도 화성시 동탄반석로 13월드반도2차 학원상가2층 한울태권도(반송동),03180153571
백종환,20451,6069197543,True,세계태권도장,태권도,부산,26,"부산광역시 북구 만덕1로 25-12103동901호(만덕동, 만덕2휴먼시아)",0513429559
배성경,1,6109218409,True,두드림복싱,복싱,울산,31,울산광역시 울주군 온양읍 온양로 80효성빌딩3층,0522715566
고순익,1,1349134460,True,세광권투체육관,복싱,경기,41,경기도 안산시 상록구 본오로 165운학빌딩(본오동),0314061211
유인평,1,5359801443,True,힘찬태권도장,태권도,충북,43,"충청북도 청주시 흥덕구 오송읍 오송생명14로 215상가동 124,125호 힘찬태권도(오송역 동아라이크텐)",
허숭,4193,1348208825,True,감골시민홀,헬스,경기,41,경기도 안산시 상록구 석호로 226감골시민홀(사동),0314175014
최봉연,1,8791800395,True,두산종합체육도장,합기도,경기,41,"경기도 시흥시 중심상가로 285상가동 제지하층 101,103,104호(정왕동, 건영아파트)",
위대한,1,4499601304,True,두산태권도장,태권도,서울,11,"서울특별시 구로구 도림로 59상가3층 302~304호(구로동, 구로두산아파트)",
김병욱,1,4019406545,True,두실태권도3,태권도,부산,26,부산광역시 금정구 금샘로 5263층 두실태권도 3관(남산동),
박수종,18834,4099046179,True,두암석사태권도,태권도,광주,29,광주광역시 북구 삼정로 106-7무등파크3차상가3층301호 (두암동),
이경민,2,3813500823,True,두정아이사커 축구교실,축구,충남,44,충청남도 천안시 서북구 서부16길 24지하층(성정동),
정민화,1,1979400792,True,두호참태권도 인성관,태권도,경북,47,경상북도 포항시 북구 학전로111번길 223층 두호참태권도 인성관(두호동),
성지현,25640,6159165647,True,둔산 태권도장,태권도,대전,30,대전광역시 서구 둔산로 220둔산훼미리타운 4층 404호 둔산태권도장(둔산동),
김진,9642,3149248873,True,둔산독수리태권도장,태권도,대전,30,대전 서구 둔산동 계룡로491번길 28서해빌딩 3층 둔산독수리태권도장,
최승구,3501,2249085187,True,둔내태권도체육관,태권도,강원,51,강원 횡성군 둔내면둔방내리 108-9,0333441129
박지현,1651,1389107188,True,호계 효태권도,태권도,경기,41,경기도 안양시 동안구 귀인로79번길 293층 (호계동),
최창민,10109,3149165725,True,둔원체육관,태권도,대전,30,대전 서구 갈마동1397번지 2층,
최영규,1,2324600279,True,둔촌탁구교실,탁구,서울,11,"서울특별시 강동구 명일로 113(둔촌동, 둔촌하이츠아파트) 상가동 지층 101호",
김재득,1,1279205436,True,둠빔무용학원,발레,경기,41,경기도 의정부시 새말로 72층(신곡동),
황용택,1,1289901223,True,둥글이태권도,태권도,경기,41,"경기도 고양시 일산동구 위시티4로 80상가2층 둥글이태권도(식사동, 위시티일산자이1단지)",
김재구,1,1501901441,True,듀요가필라테스,요가,경기,41,경기도 수원시 장안구 경수대로 950253호(조원동),
한승국,1,7249300336,True,드래곤복싱클럽,복싱,경기,41,경기도 고양시 일산동구 숲속마을로 38아크리아 602호 드래곤복싱클럽(풍동),
신범용,1,2291201694,True,드래곤짐,합기도,대구,27,대구광역시 동구 안심로41길 18서호동103-7 대왕빌딩3층(서호동),
남상권,1,7779100961,True,드래곤짐태권도장,태권도,경북,47,경상북도 성주군 성주읍 성주읍1길 8-122층 드래곤짐태권도장,
김희중,2,6669900099,True,드래곤태권도 용두지점,태권도,대전,30,대전광역시 중구 중앙로13번길 523층 드래곤태권도(용두동),
박세종,3881,4159070280,True,드래곤태권도장,태권도,전남,46,전남 진도군 진도읍 옥주길 28-12,
박현식,1,5253900305,True,드레곤테크노짐,헬스,인천,28,인천광역시 부평구 동수북로 156용빌딩 4층 드래곤테크노짐(부평동),
김준용,1,5051497104,True,드리블코리아(DRIBLE KOREA),축구,경북,47,,
송기룡,1,3189002287,True,드리움태권도,태권도,대전,30,대전광역시 유성구 대정로28번안길 71운암빌딩 3층 드리움태권도(대정동),
이진왕,1,8083201160,True,드림 마샬아츠 멀티짐,기타종목,경기,41,경기도 성남시 중원구 광명로 3785층 드림 마샬아츠 멀티짐(금광동),
강경남,1,7251501626,True,드림 앤 펀 짐,기타종목,울산,31,울산광역시 동구 월봉로 5상가2층 드림앤펀짐(화정동),
김성연,1,5809301512,True,둔산주니어풋볼클럽,축구,전북,52,전라북도 완주군 봉동읍 원둔산3길 9둔산주니어풋볼클럽,0632624384
박기철,1,1829500647,True,드림 태권도장,태권도,경기,41,경기도 김포시 사우중로73번길 16303호(북변동),
박민규,1,5077700236,True,드림FC유소년축구교실,축구,경북,47,경상북도 포항시 북구 이동로 673층(득량동),
최경순,1,2782801514,True,ui짐,헬스,경기,41,경기도 양주시 고암길 3584층401호(덕정동),
이혜송,1,2171135272,True,우리마음심리상담소,기타종목,서울,11,서울특별시 노원구 동일로204가길 34207호(중계동),0262216544
이재민,1,1903401030,True,Goatgym (고트짐),헬스,충북,43,충청북도 청주시 흥덕구 죽천로 141F충 Goatgym(복대동),
정강연,3907,1359040594,True,둥지태권도체육관,태권도,경기,41,경기 용인시처인구양지면양지리593-3,0313382587
김광성,5322,6219120801,True,두실태권도장,태권도,부산,26,부산 금정구 구서동177-292층,0515140437
손준혁,27248,8289100371,True,드림GT멀티짐,기타종목,부산,26,"부산광역시 해운대구 신반송로 1934층 드림GT멀티짐(반송동, 신정빌딩)",
전종현,8436,5109029387,True,드림K타이거즈태권도장,태권도,경북,47,경상북도 김천시 부곡맛고을2길 771486(부곡동),
김호경,1,2670901643,True,드림YT탁구교실,탁구,경북,47,경상북도 포항시 남구 상공로 38보성빌딩 3층 드림YT탁구교실(상도동),
