main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
3,전북,기타종목,52,조현상,4층 쏙쏙메타 바둑센터(인후동1가),17009,쏙쏙메타 바둑센터,1,전라북도 전주시 덕진구 무삼지로 79,전주시,55019,52110,3674201066,강좌,0632425678,True
79,경기,필라테스,41,허정,연세프라자 3층 엘리나필라테스원흥점(도내동),17010,엘리나필라테스원흥점,1,경기도 고양시 덕양구 의장로 140,고양시,10551,41280,2580700821,강좌,0319620707,True
7,광주,댄스,29,정보라,디에이치타워 4층(임암동),17011,오브폴스튜디오,1,광주광역시 남구 효천3로 119,남구,61754,29155,2033052012,강좌,,True
3,전북,기타종목,52,장성배,(수송동),17012,올라운더,1,전라북도 군산시 수송로 120,군산시,54102,52130,6289901723,강좌,0634652672,True
22,경기,태권도,41,함창식,대림타운 6층 용인대튼튼태권도(상동),17013,용인대튼튼태권도장,1,경기도 부천시 상동로117번길 31,부천시,14543,41190,1369877106,강좌,0323262678,True
79,광주,필라테스,29,유지호,한아름빌딩 3층 Y필라테스(풍암동),17014,와이필라테스 & 뉴런요가,1,광주광역시 서구 풍암2로 8,서구,62058,29140,6392900532,강좌,0625155000,True
22,인천,태권도,28,김동식,2층 용인대 k태권도(산곡동),17015,용인대 k태권도,1,인천광역시 부평구 세월천로 77,부평구,21307,28237,6169425315,강좌,,True
22,대구,태권도,27,구자균,581-109번지 3층 용인대드림태권스쿨,17016,용인대드림태권스쿨,8094,대구 수성구 파동,수성구,706847,27260,5029157287,강좌,0537684041,True
22,경북,태권도,47,김영일,107-6,17017,연세영일태권도장,1885,경북 상주시 남성동,상주시,742010,47250,5119029319,강좌,,True
22,전남,태권도,46,함정섭,3층,17018,용인대광양태권도장,15713,전라남도 광양시 광양읍 와룡길 40,광양시,57747,46230,4169030734,강좌,0617612227,True
3,광주,기타종목,29,김수경,2층(우산동),17019,말바우점핑,1,광주광역시 북구 서방로 88,북구,61209,29170,6021273393,강좌,,True
3,경기,기타종목,41,이정현,S타워 3층 아이공간아동발달센터(비전동),17020,아이공간아동발달센터,1,경기도 평택시 비전4로 39,평택시,17854,41220,7890500694,강좌,0316179270,True
22,경북,태권도,47,문세희,"아이앤씨 501,502호",17021,용인대최봉준태권스쿨 ,1,경상북도 구미시 산동읍 신당2로 47,구미시,39464,47190,1179872930,강좌,,True
79,충남,필라테스,44,정재현,진영빌딩 4층 401호 필라킹운동스튜디오(수청동),17022,필라킹운동스튜디오,1,충청남도 당진시 수청5길 12-14,당진시,31772,44270,5484400812,강좌,,True
22,대구,태권도,27,안상훈,(두류동),17023,영남대 성남태권도,16998,대구광역시 달서구 성당로 255,달서구,42668,27290,5039199183,강좌,0536223035,True
21,충남,탁구,44,이연희,"상가 지하 101호(배미동, 서진아파트)",17024,흥 탁구클럽,1,충청남도 아산시 서부북로 973,아산시,31530,44200,2231017985,강좌,0415321939,True
22,인천,태권도,28,김명수,3층 (주안동),17025,하늬바람 국가대표 태권도장,1,인천광역시 미추홀구 주염로 26,미추홀구,22124,28170,4599400443,강좌,0328628518,True
12,강원,수영,51,김연수외 1명,청솔5차아파트 상가동 지층  YS스윔키즈(관설동),17026,YS 스윔키즈,27296,강원도 원주시 시청로 524-2,원주시,26469,51130,3742300220,강좌,0337639383,True
22,경북,태권도,47,박민규,올곧은태권도,17027,올곧은 울릉태권도장,1,경상북도 울릉군 울릉읍 도동길 186,울릉군,40221,47940,7739400349,강좌,,True
25,강원,헬스,51,김태희,6층(퇴계동),17028,코어앤밸런스 트레이닝 센터,1,강원특별자치도 춘천시 행촌로 29,춘천시,24441,51110,2841900973,강좌,,True
9,경북,배드민턴,47,권두표,"가,나동(황성동)",17029,경주TOP배드민턴 전용구장,1,경상북도 경주시 유림로5번길 85-9,경주시,38072,47130,7795100622,강좌,,True
17,전북,유도,52,이창길,공명유도관 2층(효자동3가),17030,공명유도관,1,전라북도 전주시 완산구 백마산길 5,전주시,55068,52110,3933301568,강좌,,True
76,울산,복싱,31,최동현,504호 라인복싱클럽,17031,라인복싱클럽,27441,울산광역시 울주군 범서읍 구영로 94,울주군,44924,31710,6209112405,강좌,0522460114,True
22,경기,태권도,41,김성진,(은행동) 경동프라자 5층 504호,17032,무진태권도,1,경기도 시흥시 은행로 86,시흥시,14916,41390,1069303200,강좌,,True
3,경남,기타종목,48,김지윤,비전빌딩 9층 슈퍼키즈성장센터(상남동),17033,슈퍼키즈성장센터,2,경상남도 창원시 성산구 마디미동로 25,창원시,51496,48120,4241801739,강좌,0552633337,True
22,충북,태권도,43,박동호,선우프라자 5층 505호(호암동),17034,용인대태후태권도,1,충청북도 충주시 호암토성2로 3,충주시,27480,43130,1399968049,강좌,0438489812,True
79,부산,필라테스,26,임수아,1층 으뜸필라테스(부암동),17035,으뜸필라테스,1,부산광역시 부산진구 동평로 183,부산진구,47141,26230,6024500961,강좌,,True
79,경기,필라테스,41,김혜림,골드프라자 5층 이브필라테스(하안동),17036,이브필라테스,1,경기도 광명시 범안로 1040,광명시,14305,41210,4802001391,강좌,0225561040,True
22,경기,태권도,41,구모령,7층 용인대 태권쏭(망월동),17037,용인대 태권쏭,1,경기도 하남시 미사강변대로 212,하남시,12909,41450,8329101175,강좌,0317941331,True
25,경북,헬스,47,김기훈,1층 올케어핏(봉곡동),17038,올케어핏,1,경상북도 구미시 봉곡로 124,구미시,39207,47190,1973400798,강좌,,True
